,YEAR,RANK,TITLE,ARTIST
0,2006,1,내사람 : Partner For Life,SG 워너비
1,2006,2,사랑 안해,백지영
2,2006,3,여인의 향기,씨야
3,2006,4,남자를 몰라,버즈
4,2006,5,LOVE ALL,gavy nj project group [H7美人(미인)]
5,2006,6,Hold the line,"조pd (ZoPD), 브라운아이드걸스"
6,2006,7,까만안경 (Feat. Day Light),"이루, Daylight"
7,2006,8,그 남자 그 여자 (Feat. 장혜진),바이브
8,2006,9,하기 힘든 말,이승기
9,2006,10,거리에서,성시경
10,2006,11,그녀를 사랑해줘요,하동균
11,2006,12,사랑했어요 (Feat. 데니안),SG 워너비
12,2006,13,사랑하기 때문에 (Feat. SG워너비),씨야
13,2006,14,사랑아 가지마,임정희
14,2006,15,마주치지 말자,장혜진
15,2006,16,아이스크림,MC몽
16,2006,17,편지,김종국
17,2006,18,My Love (And),버즈
18,2006,19,전부 너였다,노을
19,2006,20,비행기,거북이
20,2006,21,운다,손호영(SHY)
21,2006,22,Timeless (Feat. 시아준수),장리인 (Zhang Li Yin)
22,2006,23,소리쳐,이승철
23,2006,24,My Darling (End),버즈
24,2006,25,불꽃 (Feat. 개리),장혜진
25,2006,26,미친 사랑의 노래,씨야
26,2006,27,눈물샘,별
27,2006,28,바람만바람만,"김종국, SG 워너비"
28,2006,29,죽을만큼..,오종혁
29,2006,30,사랑을 찾아서,엠씨더맥스 (M.C the MAX)
30,2006,31,제발,이승기
31,2006,32,My Style,업타운
32,2006,33,누나의 꿈,현영
33,2006,34,다가와서,브라운아이드걸스
34,2006,35,연예인,싸이 (PSY)
35,2006,36,폭풍,SG 워너비
36,2006,37,I Go,럼블피쉬
37,2006,38,은인,버즈
38,2006,39,웃는거야,서영은
39,2006,40,Happiness,가비엔제이
40,2006,41,The Day,"제아, 김연지"
41,2006,42,U,SUPER JUNIOR (슈퍼주니어)
42,2006,43,눈사람,가비엔제이
43,2006,44,태양의 눈물 (Tear Of The Sun),KCM
44,2006,45,Untouchable,Big4
45,2006,46,사랑 먼지,버블 시스터즈
46,2006,47,그녀가 울고있네요,가비엔제이
47,2006,48,느림보,SG 워너비
48,2006,49,그대 돌아오면..,거미
49,2006,50,면도,V.One
50,2006,51,"사랑, 참...",홍경민
51,2006,52,구두,씨야
52,2006,53,들리나요,정재욱
53,2006,54,Grace,이수영
54,2006,55,유추프라카치아,토니 안
55,2006,56,원하고 원망하죠,이승기
56,2006,57,Bye Bye Bye,먼데이 키즈 (Monday Kiz)
57,2006,58,남자답게,플라이 투 더 스카이
58,2006,59,사랑한다는 말,김종국
59,2006,60,라 라 라,SE7EN
60,2006,61,Perhaps Love (사랑인가요),"하울, 제이"
61,2006,62,Must Have Love,"SG 워너비, 브라운아이드걸스"
62,2006,63,울지마,버즈
63,2006,64,날 위한 이별,린
64,2006,65,떠나지마,이승철
65,2006,66,입모양,이승기
66,2006,67,Once In A Lifetime,신화
67,2006,68,Tomorrow,환희
68,2006,69,Get Ya',이효리
69,2006,70,다소,메이비 (Maybee)
70,2006,71,하고싶은 말,김태우
71,2006,72,헤어져야 사랑을 알죠,리사
72,2006,73,너에게 쓰는 편지 Part 2 (Feat. LISA),MC몽
73,2006,74,아름다운 이별 Ⅱ (PSY Ver.),이재훈 (쿨)
74,2006,75,I Love Rock & Roll,코요태
75,2006,76,사랑은 가슴이 시킨다,버즈
76,2006,77,I'm Coming (Feat. Tablo),비
77,2006,78,가만히 눈을 감고 (CF - 교토 다원녹차),정재욱
78,2006,79,사랑은,더 네임
79,2006,80,Cutie Honey,아유미
80,2006,81,열 (Feat. Tablo),이정(J.Lee)
81,2006,82,좋아 좋아,서영은
82,2006,83,마이동풍,배치기
83,2006,84,사랑은 이별을 데리고 오다 (New Ver.),손호영(SHY)
84,2006,85,그래도 살아가겠지,가비엔제이
85,2006,86,정 (情),"제아, 김연지"
86,2006,87,Maybe I Love You (Feat. 빅톤),걸 프렌즈
87,2006,88,사랑해요 우리 (Feat. 거미),플라이 투 더 스카이
88,2006,89,이지혜,이지혜
89,2006,90,피 (避),플라이 투 더 스카이
90,2006,91,Paris (Feat. Jisun of Loveholic),에픽하이 (EPIK HIGH)
91,2006,92,바람과 함께 사라지다,Big4
92,2006,93,가슴이 아려와,란 (RAN)
93,2006,94,사랑은 아프려고 하는 거죠,엠씨더맥스 (M.C the MAX)
94,2006,95,오늘하루,쿨 (COOL)
95,2006,96,사랑한다는 한마디,신지
96,2006,97,난 알아요 (Feat. Teddy),SE7EN
97,2006,98,한숨만,바이브
98,2006,99,아무리 생각해도 난 너를,스윗소로우 (SWEET SORROW)
99,2006,100,Never Mind,빅마마
