,YEAR,RANK,TITLE,ARTIST
0,2008,1,So Hot,원더걸스
1,2008,2,하루 하루,BIGBANG (빅뱅)
2,2008,3,Love,브라운아이드걸스
3,2008,4,Nobody,원더걸스
4,2008,5,"서커스 (Feat. 임유경 - 달래 음악단 , ＄howgun)",MC몽
5,2008,6,마지막 인사,BIGBANG (빅뱅)
6,2008,7,사랑과 전쟁 (Narr. 하하),다비치
7,2008,8,U-Go-Girl (With 낯선),이효리
8,2008,9,천국,BIGBANG (빅뱅)
9,2008,10,가지마 가지마,브라운 아이즈
10,2008,11,발자국,먼데이 키즈 (Monday Kiz)
11,2008,12,One More Time,쥬얼리
12,2008,13,아이처럼,김동률
13,2008,14,이노래,2am
14,2008,15,One (Feat. 지선),에픽하이 (EPIK HIGH)
15,2008,16,만약에,태연 (TAEYEON)
16,2008,17,라라라,SG 워너비
17,2008,18,어쩌다,브라운아이드걸스
18,2008,19,보고싶은 날엔..,박지헌
19,2008,20,Hey Mr. Big,이효리
20,2008,21,나만 바라봐,태양
21,2008,22,미워도 사랑하니까,다비치
22,2008,23,사랑해 미안해,지아
23,2008,24,가슴으로 외쳐 (Rap Feat. Rhymer),먼데이 키즈 (Monday Kiz)
24,2008,25,미안해요 (Feat. T.O.P),거미
25,2008,26,Blue Moon,"씨야, 다비치, 블랙펄"
26,2008,27,우산 (Feat. 윤하),에픽하이 (EPIK HIGH)
27,2008,28,누난 너무 예뻐 (Replay),SHINee (샤이니)
28,2008,29,Kissing You,소녀시대 (GIRLS' GENERATION)
29,2008,30,남자 때문에,JOO
30,2008,31,미쳤어 (Feat. 에릭),손담비
31,2008,32,너 때문에,브라운 아이즈
32,2008,33,주문-MIROTIC (Clean Ver.),동방신기 (TVXQ!)
33,2008,34,사랑해 (Feat. 윤은혜),마이티 마우스
34,2008,35,How Gee (하우지),BIGBANG (빅뱅)
35,2008,36,Beautiful Life,V.O.S
36,2008,37,슬픈 다짐,다비치
37,2008,38,거짓말,BIGBANG (빅뱅)
38,2008,39,못된 여자 (Feat. 서인영),원투
39,2008,40,기억을 걷는 시간,넬 (NELL)
40,2008,41,사랑이 그렇게 쉬워 (Feat. 태인),나몰라패밀리 (Namolla Family)
41,2008,42,신데렐라,서인영
42,2008,43,추억속의 그대,이승기
43,2008,44,Too Much (With 서인영) (우리결혼했어요 화제곡),크라운제이 (CROWN J)
44,2008,45,들리나요...,태연 (TAEYEON)
45,2008,46,에너지 (Feat. 선예),마이티 마우스
46,2008,47,Love Story,비
47,2008,48,그깟 사랑,"이진성 (먼데이 키즈), 최현준 (V.O.S), 일 락"
48,2008,49,1분 1초 (Feat. 타루),에픽하이 (EPIK HIGH)
49,2008,50,어제보다 오늘 더,김종국
50,2008,51,죽도록 사랑해 (Feat. 박정현),MC몽
51,2008,52,You,브라운아이드걸스
52,2008,53,다 줄꺼야,이승기
53,2008,54,화분 (알렉스 Ver.) (우리결혼했어요 삽입곡),알렉스
54,2008,55,Rainism (Clean Ver.),비
55,2008,56,이바보,원더걸스
56,2008,57,붉은 노을,BIGBANG (빅뱅)
57,2008,58,착한 사람,BIGBANG (빅뱅)
58,2008,59,내사람,환희
59,2008,60,10점 만점에 10점,2PM
60,2008,61,D.I.S.C.O  (Feat. TOP),엄정화
61,2008,62,안녕 나의 사랑,성시경
62,2008,63,후회는 없어 (Feat. 베이지),노블레스
63,2008,64,슬픔활용법,김범수
64,2008,65,너는 내 운명,하하
65,2008,66,Lie,가비엔제이
66,2008,67,그대만이 (MBC '우리 결혼했어요' 알렉스&신애 테마곡),김종욱
67,2008,68,모두 다 쉿!,쥬얼리
68,2008,69,바보에게... 바보가,박명수
69,2008,70,사랑후애 (僞愛),FTISLAND (FT아일랜드)
70,2008,71,총맞은것처럼,백지영
71,2008,72,클래식,KCM
72,2008,73,너만 볼래 (Feat. 태인),나몰라패밀리 (Namolla Family)
73,2008,74,다시 시작해보자,김동률
74,2008,75,My Style (Hidden Track),브라운아이드걸스
75,2008,76,Oh My Friend (Feat. 노브레인),BIGBANG (빅뱅)
76,2008,77,대낮에 한 이별 (Feat. 선예 (Wonder Girls)),박진영
77,2008,78,슬픈 발걸음  (구두II),씨야
78,2008,79,Hot Girl,씨야
79,2008,80,미치겠어 (Feat. M.A.C),MC몽
80,2008,81,사랑을 원해,쿨 (COOL)
81,2008,82,No.3 (Feat. Sol Flower),배치기
82,2008,83,취중진담 (Feat. AND),플라이 투 더 스카이
83,2008,84,나비야,하동균
84,2008,85,눈물은 모르게,엠씨더맥스 (M.C the MAX)
85,2008,86,처음처럼,SG 워너비
86,2008,87,"날 봐, 귀순",대성
87,2008,88,새까맣게,엠투엠 (M To M)
88,2008,89,그대라면,알렉스
89,2008,90,Baby Baby,소녀시대 (GIRLS' GENERATION)
90,2008,91,너 올 때까지,FTISLAND (FT아일랜드)
91,2008,92,It's Okay (Feat. 화요비),언터쳐블
92,2008,93,여자는 사랑을 먹고,왁스
93,2008,94,Tell me (Sampling From 'Two Of Hearts'),원더걸스
94,2008,95,바보,BIGBANG (빅뱅)
95,2008,96,Never Say Goodbye,먼데이 키즈 (Monday Kiz)
96,2008,97,Fly Boy,크라운제이 (CROWN J)
97,2008,98,산소 같은 너 (Love Like Oxygen),SHINee (샤이니)
98,2008,99,Lady,BIGBANG (빅뱅)
99,2008,100,Bad Boy,손담비
