,YEAR,RANK,TITLE,ARTIST
0,2009,1,Gee,소녀시대 (GIRLS' GENERATION)
1,2009,2,I Don't Care,2NE1
2,2009,3,Abracadabra,브라운아이드걸스
3,2009,4,Heartbreaker,G-DRAGON
4,2009,5,Again＆Again,2PM
5,2009,6,심장이 없어,에이트
6,2009,7,사랑비,김태우
7,2009,8,Fire,2NE1
8,2009,9,"쏘리 쏘리 (Sorry, Sorry)",SUPER JUNIOR (슈퍼주니어)
9,2009,10,Lollipop,"BIGBANG (빅뱅), 2NE1"
10,2009,11,외톨이,아웃사이더
11,2009,12,8282,다비치
12,2009,13,눈물이 뚝뚝,케이윌
13,2009,14,사고쳤어요,다비치
14,2009,15,TTL (Time To Love),"티아라, 초신성"
15,2009,16,소원을 말해봐 (Genie),소녀시대 (GIRLS' GENERATION)
16,2009,17,사랑한 후에,박효신
17,2009,18,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍
18,2009,19,토요일밤에,손담비
19,2009,20,Hot Issue,4minute
20,2009,21,Muzik,4minute
21,2009,22,Diva,애프터스쿨
22,2009,23,미스터,카라
23,2009,24,Insomnia (불면증),휘성 (Realslow)
24,2009,25,My Man,다비치
25,2009,26,YOU AND I,박봄 (Park Bom)
26,2009,27,내 귀에 캔디 (Feat. 택연 Of 2PM),백지영
27,2009,28,사랑..그 놈,바비 킴
28,2009,29,반쪽,박화요비
29,2009,30,이젠 남이야 (Feat. Baby-J Of Jewelry),김경록 (V.O.S)
30,2009,31,여성시대,"씨야, 다비치, 티아라"
31,2009,32,잊지 말아요,백지영
32,2009,33,니가 밉다,2PM
33,2009,34,결혼해 줄래 (Feat. BIZNIZ),이승기
34,2009,35,Wanna,카라
35,2009,36,잘가요 내사랑,에이트
36,2009,37,거짓말 (Part.1),티아라
37,2009,38,Ring Ding Dong,SHINee (샤이니)
38,2009,39,Sign,브라운아이드걸스
39,2009,40,우리 헤어지자,이승기
40,2009,41,Honey,카라
41,2009,42,큰일이다,V.O.S
42,2009,43,AH,애프터스쿨
43,2009,44,라차타 (LA chA TA),f(x)
44,2009,45,사랑해 (Feat. 유리상자 박승화),SG 워너비
45,2009,46,친구의 고백,2am
46,2009,47,부른다,서인국
47,2009,48,비와 당신 (영화 '라디오스타' 삽입곡),럼블피쉬
48,2009,49,오랜만이야,임창정
49,2009,50,바래,FTISLAND (FT아일랜드)
50,2009,51,러브119 (Feat. MC몽),케이윌
51,2009,52,마음이 다쳐서 (Feat. Crown J),나비 (Navi)
52,2009,53,사랑..다 거짓말,린
53,2009,54,내 머리가 나빠서,SS501
54,2009,55,터질 것 같아,지아
55,2009,56,연애소설,가비엔제이
56,2009,57,너라고 (It's You),SUPER JUNIOR (슈퍼주니어)
57,2009,58,Heartbeat,2PM
58,2009,59,붉은 노을,BIGBANG (빅뱅)
59,2009,60,Chocolate Love (Retro Pop Ver.),소녀시대 (GIRLS' GENERATION)
60,2009,61,그 놈 목소리,씨야
61,2009,62,떠나지마...,윤미래
62,2009,63,In The Club,2NE1
63,2009,64,Kiss (Feat. CL),산다라박
64,2009,65,못된 여자 II (With 서인영),원투
65,2009,66,Boo,아이유
66,2009,67,30분전 (Feat. 임정희),이현
67,2009,68,헤어지는 중입니다,이은미
68,2009,69,줄리엣 (Juliette),SHINee (샤이니)
69,2009,70,"Indian Boy (Feat. 장근이, B.I)",MC몽
70,2009,71,Pretty Girl,카라
71,2009,72,아이비,아이비
72,2009,73,구속,플라이 투 더 스카이
73,2009,74,냉면,명카드라이브
74,2009,75,살만해,브랜뉴데이
75,2009,76,내사랑 울보,SG 워너비
76,2009,77,Candy Man,브라운아이드걸스
77,2009,78,Pretty Boy,2NE1
78,2009,79,총맞은것처럼,백지영
79,2009,80,Love Like This (네게로),SS501
80,2009,81,나쁜 여자야,FTISLAND (FT아일랜드)
81,2009,82,전화 한 번 못하니 (Feat. 미스에스 태혜영),왁스
82,2009,83,Wonderful,BIGBANG (빅뱅)
83,2009,84,그립고 그립고 그립다,케이윌
84,2009,85,소년이여,G-DRAGON
85,2009,86,Let's Dance,퓨처라이거
86,2009,87,커플 (Feat. 황정음),김용준
87,2009,88,기다리다 지친다,2PM
88,2009,89,마음으로 하는 말 (Feat. Hanyi),프리스타일
89,2009,90,Chu~♡,f(x)
90,2009,91,Stylish (The FILA),BIGBANG (빅뱅)
91,2009,92,Simple Love (Feat. 나비),MC몽
92,2009,93,흔들려,채연
93,2009,94,죽일 놈 (Guilty),다이나믹 듀오
94,2009,95,생각이나,부활
95,2009,96,아몰레드 (Amoled),"손담비, 애프터스쿨"
96,2009,97,행복병 (Feat. Shorry J (MM)),김종국
97,2009,98,연애특강 (Feat. 한예슬),마이티 마우스
98,2009,99,만만하니,유키스
99,2009,100,한사람을 위한 마음,럼블피쉬
