,YEAR,RANK,TITLE,ARTIST
0,2020,1,아무노래,지코 (ZICO)
1,2020,2,METEOR,창모 (CHANGMO)
2,2020,3,아로하,조정석
3,2020,4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
4,2020,5,에잇(Prod.&Feat. SUGA of BTS),아이유
5,2020,6,Blueming,아이유
6,2020,7,늦은 밤 너의 집 앞 골목길에서,노을
7,2020,8,시작,가호 (Gaho)
8,2020,9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
9,2020,10,Psycho,Red Velvet (레드벨벳)
10,2020,11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
11,2020,12,Dynamite,방탄소년단
12,2020,13,마음을 드려요,아이유
13,2020,14,처음처럼,엠씨더맥스 (M.C the MAX)
14,2020,15,How You Like That,BLACKPINK
15,2020,16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL)
16,2020,17,ON,방탄소년단
17,2020,18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
18,2020,19,Downtown Baby,블루 (BLOO)
19,2020,20,마리아 (Maria),화사 (Hwa Sa)
20,2020,21,어떻게 지내 (Prod. By VAN.C),오반
21,2020,22,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
22,2020,23,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)"
23,2020,24,Dolphin,오마이걸 (OH MY GIRL)
24,2020,25,사랑하게 될 줄 알았어,전미도
25,2020,26,안녕,폴킴
26,2020,27,그때 그 아인,김필
27,2020,28,취기를 빌려 (취향저격 그녀 X 산들),산들
28,2020,29,Love poem,아이유
29,2020,30,HIP,마마무 (Mamamoo)
30,2020,31,우리 왜 헤어져야 해,신예영
31,2020,32,좋은 사람 있으면 소개시켜줘,조이 (JOY)
32,2020,33,너를 사랑하고 있어,백현 (BAEKHYUN)
33,2020,34,봄날,방탄소년단
34,2020,35,Black Swan,방탄소년단
35,2020,36,Summer Hate (Feat. 비),지코 (ZICO)
36,2020,37,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기
37,2020,38,"다시 난, 여기",백예린 (Yerin Baek)
38,2020,39,눈누난나 (NUNU NANA),제시 (Jessi)
39,2020,40,돌덩이,하현우 (국카스텐)
40,2020,41,오래된 노래,스탠딩 에그
41,2020,42,사랑이란 멜로는 없어,전상근
42,2020,43,반만,진민호
43,2020,44,시든 꽃에 물을 주듯,HYNN (박혜원)
44,2020,45,너를 만나,폴킴
45,2020,46,Square (2017),백예린 (Yerin Baek)
46,2020,47,FIESTA,IZ*ONE (아이즈원)
47,2020,48,덤더럼 (Dumhdurum),Apink (에이핑크)
