,YEAR,RANK,TITLE,ARTIST
0,2005,1,죄와벌,SG 워너비
1,2005,2,겁쟁이,버즈
2,2005,3,사랑했나봐,윤도현
3,2005,4,살다가,SG 워너비
4,2005,5,광(狂),SG 워너비
5,2005,6,세글자 (드라마 '루루공주' 김정은 메인 테마),엠투엠 (M To M)
6,2005,7,제자리 걸음,김종국
7,2005,8,가시,버즈
8,2005,9,I Love U Oh Thank U (Feat. 김태우 Of God),MC몽
9,2005,10,둘이서 (CF - 빙그레 '바나나맛 우유'),채연
10,2005,11,너에게 전하는 아홉가지 바램,KCM
11,2005,12,Smile Again,KCM
12,2005,13,사랑은...하나다,테이
13,2005,14,체념 後(후),빅마마
14,2005,15,귀로,나얼
15,2005,16,내 눈물이 하는 말,견우 (Kyunwoo)
16,2005,17,Fly (Feat. Amin. J of Soulciety),에픽하이 (EPIK HIGH)
17,2005,18,사랑인걸,모세
18,2005,19,사랑스러워,김종국
19,2005,20,나에게로 떠나는 여행,버즈
20,2005,21,"별, 바람, 햇살 그리고 사랑",김종국
21,2005,22,꽃피는 봄이오면,BMK
22,2005,23,안부 (Duet With 나윤권),별
23,2005,24,아니,거미
24,2005,25,일년이면,휘성 (Realslow)
25,2005,26,Y (Please Tell Me Why),프리스타일
26,2005,27,가슴 아파도,환희
27,2005,28,천하무적 (Feat. 박장근 Of Supersta),MC몽
28,2005,29,Super Star,쥬얼리
29,2005,30,한숨만,이정(J.Lee)
30,2005,31,으라차차,럼블피쉬
31,2005,32,보통날,god
32,2005,33,내가 웃는게 아니야 (Feat. ALI),리쌍
33,2005,34,눈물이 나요,조성모
34,2005,35,환희,싸이 (PSY)
35,2005,36,내 마음의 보석상자,SG 워너비
36,2005,37,그녀의 남자에게,김종국
37,2005,38,벌,버즈
38,2005,39,같은 생각,신혜성
39,2005,40,Girls On Top,보아 (BoA)
40,2005,41,지지 않는 태양 (Feat. 한 에스더),장우혁
41,2005,42,응급실,izi
42,2005,43,여자,빅마마
43,2005,44,Happiness,가비엔제이
44,2005,45,잘 지내나요,성시경
45,2005,46,거짓말,버즈
46,2005,47,봄날,아이
47,2005,48,"떠나가요, 떠나지마요",더 크로스
48,2005,49,사랑은 가슴이 시킨다,버즈
49,2005,50,헤어지자고 (MBC 슬픈연가 삽입곡),윤건
50,2005,51,눈의 꽃,박효신
51,2005,52,겨울일기,장나라
52,2005,53,"Anyclub (Feat.Teddy) ( CF - Anycall Anyclub 이효리, 에릭, 권상우편 )",이효리
53,2005,54,홈런 (Feat. 옥주현),MC몽
54,2005,55,여기까진가요,플라워
55,2005,56,그리움을 사랑한 가시나무,테이
56,2005,57,추억속의 재회,엠씨더맥스 (M.C the MAX)
57,2005,58,"1,2,3,4. (원,투,쓰리,포.)",코요태
58,2005,59,은영이에게 Part 2,KCM
59,2005,60,입술만 깨물고있죠,SG 워너비
60,2005,61,그리고 그후,프리스타일
61,2005,62,보통여자,린
62,2005,63,약속(Narration 강경헌),god
63,2005,64,중독,서영은
64,2005,65,Memory,김범수
65,2005,66,흩어진 나날들,박효신
66,2005,67,불치병 (Feat. Masta Wu),휘성 (Realslow)
67,2005,68,눈물씻고 화장하고,렉시
68,2005,69,Mr. Flower,조성모
69,2005,70,나비무덤,테이크 (TAKE)
70,2005,71,가,SG 워너비
71,2005,72,Moto,보아 (BoA)
72,2005,73,날 그만 잊어요,거미
73,2005,74,Bye Bye Bye,먼데이 키즈 (Monday Kiz)
74,2005,75,전화번호,지누션
75,2005,76,이여름  Summer,쿨 (COOL)
76,2005,77,2♡,god
77,2005,78,그녀에게,유엔
78,2005,79,세월의 흔적 다 버리고,신화
79,2005,80,꽃들은 지고,이수영
80,2005,81,1st,버즈
81,2005,82,Stay in Me,서지영
82,2005,83,빙고,코요태
83,2005,84,혼자만 하는 사랑,거미
84,2005,85,꿈의 대화 (R&B Soul ver.),SG 워너비
85,2005,86,그래도 살아가겠지,가비엔제이
86,2005,87,Rising Sun (순수),동방신기 (TVXQ!)
87,2005,88,눈물잔,박상민
88,2005,89,Hi Ya Ya 여름날,동방신기 (TVXQ!)
89,2005,90,닮았잖아,이소은
90,2005,91,사랑은 아프려고 하는 거죠,엠씨더맥스 (M.C the MAX)
91,2005,92,Tonight,홍경민
92,2005,93,언젠가는,나얼
93,2005,94,은영이에게,KCM
94,2005,95,잘 부탁드립니다 (CF - 한국야쿠르트 산타페 EX편),익스
95,2005,96,빙고 (아싸),거북이
96,2005,97,2 A.M (2:00am),전혜빈
97,2005,98,현명한 이별,슈가
98,2005,99,기대,나윤권
99,2005,100,She Is,클래지콰이
