,YEAR,RANK,TITLE,ARTIST
0,2016,1,CHEER UP,TWICE (트와이스)
1,2016,2,시간을 달려서 (Rough),여자친구 (GFRIEND)
2,2016,3,어디에도,엠씨더맥스 (M.C the MAX)
3,2016,4,널 사랑하지 않아,어반자카파
4,2016,5,이 사랑,다비치
5,2016,6,이 소설의 끝을 다시 써보려 해,한동근
6,2016,7,너는 나 나는 너,지코 (ZICO)
7,2016,8,You Are My Everything,거미
8,2016,9,OOH-AHH하게,TWICE (트와이스)
9,2016,10,걱정말아요 그대,이적
10,2016,11,또 다시 사랑,임창정
11,2016,12,잊어버리지마 (Feat. 태연),Crush
12,2016,13,내가 저지른 사랑,임창정
13,2016,14,D (half moon) (Feat. 개코),DEAN
14,2016,15,넌 is 뭔들,마마무 (Mamamoo)
15,2016,16,하늘바라기 (Feat. 하림),정은지
16,2016,17,우주를 줄게,볼빨간사춘기
17,2016,18,Boys And Girls (Feat. Babylon),지코 (ZICO)
18,2016,19,ALWAYS,윤미래
19,2016,20,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND)
20,2016,21,Day Day (Feat. 박재범) (Prod. by GRAY),BewhY (비와이)
21,2016,22,Why So Lonely,원더걸스
22,2016,23,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize)
23,2016,24,Dream (Prod. by 박근태),"수지 (Suzy), 백현 (BAEKHYUN)"
24,2016,25,봄이 좋냐??,10CM
25,2016,26,말해! 뭐해?,케이윌
26,2016,27,Everytime,"첸 (CHEN), 펀치 (Punch)"
27,2016,28,Rain,태연 (TAEYEON)
28,2016,29,Forever (Prod. By GRAY),BewhY (비와이)
29,2016,30,너 그리고 나 (NAVILLERA),여자친구 (GFRIEND)
30,2016,31,한숨,이하이
31,2016,32,휘파람,BLACKPINK
32,2016,33,소녀,오혁
33,2016,34,그대라는 사치,한동근
34,2016,35,TT,TWICE (트와이스)
35,2016,36,유레카 (Feat. Zion.T),지코 (ZICO)
36,2016,37,또 하루 (Feat. 개코),개리
37,2016,38,목요일 밤 (Feat. 빈지노),어반자카파
38,2016,39,쏘쏘,백아연
39,2016,40,다시 너를,"매드클라운, 김나영"
40,2016,41,너였다면,정승환
41,2016,42,꿈처럼,벤
42,2016,43,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
43,2016,44,안아줘,정준일
44,2016,45,puzzle,"C JAMM, BewhY (비와이)"
45,2016,46,I Like That,씨스타
46,2016,47,숨,박효신
47,2016,48,The Time Goes On,BewhY (비와이)
48,2016,49,스토커,10CM
49,2016,50,니가 알던 내가 아냐 (Prod. By GRAY),"사이먼 도미닉, ONE, 지투 (G2), BewhY (비와이)"
50,2016,51,니가 하면 로맨스 (Feat. 다비치),케이윌
51,2016,52,If You,에일리(Ailee)
52,2016,53,내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태),에디킴
53,2016,54,Toy,블락비 (Block B)
54,2016,55,Monster,EXO
55,2016,56,어땠을까,김나영
56,2016,57,사랑하자,SG 워너비
57,2016,58,사랑에 빠졌죠 (당신만이),장범준
58,2016,59,자격지심 (Feat. 은하 Of 여자친구),박경
59,2016,60,"호랑나비 (Feat. Gill, 리듬파워, 김흥국)",보이비
60,2016,61,PICK ME,PRODUCE 101
61,2016,62,너무너무너무,아이오아이 (I.O.I)
62,2016,63,구르미 그린 달빛,거미
63,2016,64,불타오르네 (FIRE),방탄소년단
64,2016,65,공감 (Feat. 서영은),정준영
65,2016,66,나만 안되는 연애,볼빨간사춘기
66,2016,67,RE-BYE,AKMU (악뮤)
67,2016,68,Ah-Choo,러블리즈
68,2016,69,맘 편히 (Comfortable),"사이먼 도미닉, GRAY (그레이), ONE"
69,2016,70,네 생각,존박
70,2016,71,청춘 (Feat. 김창완),김필
71,2016,72,우주를 건너,백예린 (Yerin Baek)
72,2016,73,친구라도 될 걸 그랬어,거미
73,2016,74,여름밤에 우린,스탠딩 에그
74,2016,75,Shut Up (Feat. 유희열),언니쓰
75,2016,76,봄인가 봐 (Spring Love),"에릭남 (Eric Nam), 웬디 (WENDY)"
76,2016,77,같은 곳에서,소녀온탑
77,2016,78,I Miss You,마마무 (Mamamoo)
78,2016,79,함께,노을
79,2016,80,Bye bye my blue,백예린 (Yerin Baek)
80,2016,81,I (Feat. 버벌진트),태연 (TAEYEON)
81,2016,82,사랑이었다 (Feat. 루나 of f(x)),지코 (ZICO)
82,2016,83,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize)
83,2016,84,아마도 그건,"Crush, 로꼬"
84,2016,85,DADDY (Feat. CL of 2NE1),싸이 (PSY)
85,2016,86,냉탕에 상어 (Feat. 블랙넛),수퍼비 (SUPERBEE)
86,2016,87,벚꽃 엔딩,버스커 버스커
87,2016,88,불장난,BLACKPINK
88,2016,89,내 옆에 그대인 걸,다비치
89,2016,90,취향저격,iKON
90,2016,91,Dancing King,"유재석, EXO"
91,2016,92,스물셋,아이유
92,2016,93,야생화,박효신
93,2016,94,야 하고 싶어 (Feat. 시우민 of EXO),지민
94,2016,95,How Can I Love You,XIA (준수)
95,2016,96,센치해,WINNER
96,2016,97,No Make Up,Zion.T
97,2016,98,어떻게 지내,Crush
98,2016,99,우아해 (woo ah),Crush
99,2016,100,너를 위해,"첸 (CHEN), 백현 (BAEKHYUN), 시우민 (XIUMIN)"
